Bill of Materials (BOM),,,,,,,,,
Name,,,,Unit Price (in PHP),Quantity,Total Price (in PHP),,,
Shopee,,,,,,,,,
Acrylic Plexiglass,,,,96,3,288,,,
Amass XT30 Plug,,,,134,2,268,,,
Arduino Pro Mini 5V 16Mhz,,,,250,1,250,,,
Plexiglass Cutter,,,,54,1,54,,,
ADXL345 Accelerometer,,,,71,3,213,,,
Mighty Bond,,,,30,4,120,,,
"OLED 1.3"" I2C",,,,439,1,439,,,
CRE Battery Indicator,,,,93,2,186,,,
TimeHee11 Battery Indicator,,,,73,2,146,,,
UART Serial MP3 Sound Module,,,,197,2,394,,,
SPDT Switch,,,,42,1,42,,,
Speaker 1W 8Ohms 28mm,,,,54,1,54,,,
CP2102 Micro USB to TTL,,,,104,1,104,,,
Gaoneng 7.4V 2S 550mah,,,,395,2,790,,,
Arduino Pro Micro 5V 16 Mhz,,,,142,3,426,,,
0.3mm Precise Soldering Core,,,,98,1,98,,,
Shipping Fee,,,,500,,,,,
Total,,,,4372,,,,,
,,,,,,,,,
E-GIZMO,,,,,,,,,
0805 20k Ohms Resistor,,,,0.25,50,12.5,,,
0805 10k Ohms Resistor,,,,0.35,50,17.5,,,
LM324AM,,,,12,3,36,,,
IL358,,,,10,3,30,,,
Force-Flex Sensor 500g,,,,175,7,1225,,,
Total,,,,1321,,,,,
,,,,,,,,,
EPDC,,,,,,,,,
PCB Fabrication,,,,,,,,,
Main,,,,300,2,600,,,
Feeback,,,,300,2,600,,,
Total,,,,1200,,,,,
Sub-Total,,,,6893,,,,,
Target Fund,,,,8000,,,,,
Difference,,,,1107,,,,,
